Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1990s,"sun beliyaa, shukriyaa, meharabaanii -  View",100 Days (1991),1991,Raam Laxman,Dev Kohli,Lata, S P Balasubramaniam,
1950s,o tere saath ... chalaa hai pyaar kaa raahii -  View,26th January/ Bharati (1956),1956,C Ramachandra,Rajinder Krishan,Lata,,
1950s,dil hii to hai ta.Dap gayaa -  View,Aadhi Raat (1950),1950,Husnlal-Bhagatram,Asad Bhopali,Lata,,
1950s,ban ke suhaagan rahii abhaagan -  View,Aadhi Raat (1950),1950,Husnlal-Bhagatram,Sarshar Sailani,Lata,,
1960s,kaarii badariyaa maare lahariyaa moraa jiyaraa u.Daa... -  View,Aadmi (1968),1968,Naushad,Shakeel,Lata,,
1960s,kal ke sapane aaj bhii aanaa -  View,Aadmi (1968),1968,Naushad,Shakeel,Lata,,
1980s,milane se pahale bichha.D jaa_e.N ham -  View,Aag Hi Aag (1987),1987,Bappi Lahiri,Anjaan,Lata,,
1950s,kisii kii aa.Nkh ke aa.Nsuu hai.n sitaare na kaho -  View,Aagosh (1953),1953,Roshan,Indeevar,Lata,,
1950s,muhabbat ek sholaa hai bachaa daaman zamaane -  View,Aagosh (1953),1953,Roshan,Kaif Irfani,Lata,,
1950s,o aasmaan ke baasii -  View,Aagosh (1953),1953,Roshan,Uddhav Kumar,Lata,,
1950s,baa.Nsuriyaa kaahe bajaa_ii -  View,Aagosh (1953),1953,Roshan,Shailendra,Lata, Sudha Malhotra,
1950s,"aa jaa re, ab meraa dil pukaaraa, ro ro ke gam bhii ... -  View",Aah (1953),1953,Shankar-Jaikishan,Hasrat,Lata, Mukesh,
1950s,"jaane na nazar, pahachaane jigar -  View",Aah (1953),1953,Shankar-Jaikishan,Hasrat,Lata, Mukesh,
1950s,jo mai.n jaanatii un ke liye -  View,Aah (1953),1953,Shankar-Jaikishan,Shailendra,Lata,,
1950s,"raajaa kii aayegii baaraat, ra.ngiilii hogii raat -  View",Aah (1953),1953,Shankar-Jaikishan,Shailendra,Lata,,
1950s,sunate the naam ham jin kaa bahaar se -  View,Aah (1953),1953,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ye shaam kii tanhaaiyaa.N aise me.n teraa Gam -  View,Aah (1953),1953,Shankar-Jaikishan,Shailendra,Lata,,
1950s,saaraa chaman thaa apanaa ... ab is mar mar ke jiine... -  View,Aakaash (1953),1953,Anil Biswas,Manmohan Sabir,Lata,,
1950s,so gaii chaa.Ndanii -  View,Aakaash (1953),1953,Anil Biswas,Satyendra Athaiya,Lata,,
1960s,mere cha.Ndaa mere na.nhe -  View,Aakhri Khat (1966),1966,Khayyam,Kaifi Azmi,Lata,,
1960s,"bahaaro.n meraa jiivan bhii sa.Nvaaro.n, bahaaro.n -  View",Aakhri Khat (1966),1966,Khayyam,Kaifi Azmi,Lata,,
1970s,kaahe manavaa naache -  View,Aalaap (1977),1977,Jaidev,Dr. Rahi Masoom Reza,Lata,,
1970s,maataa sarasvatii shaaradaa -  View,Aalaap (1977),1977,Jaidev,Traditional,Lata, Dilraj Kaur/ Madhurani, 
1960s,ta.Dap ye din raat kii kasak ye bin baat kii -  View,Aamrapali (1966),1966,Shankar-Jaikishan,Shailendra,Lata,,
1950s,chupachaap so rahe hai.n ... tujhe kho diyaa hamane -  View,Aan (1952),1952,Naushad,Shakeel,Lata, Rafi,
1950s,gaa_o taraane man ke jii aashaa aa_ii dulhan ban ke ... -  View,Aan (1952),1952,Naushad,Shakeel,Lata, Shamshad," Rafi, Shyam, C"
1950s,aaj mere man me.n sakhii baa.Nsurii bajaae koii -  View,Aan (1952),1952,Naushad,Shakeel,Lata, Chorus,
1970s,achchhaa to ham chalate hai.n -  View,Aan Milo Sajna (1970),1970,Laxmikant-Pyarelal,Anand Bakshi,Lata, Kishore,
1970s,tere kaaraN tere kaaraN -  View,Aan Milo Sajna (1970),1970,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,vande maataram.h -  View,Aanand Math (1952),1952,Hemant Kumar,Bankimchandra,Lata,,
1980s,"bas merii jaan bas, maan le merii baat -  View",Aanchal (1980),1980,R D Burman,Majrooh,Lata, Kishore,
1980s,bhor bhaye pa.nchhii dhun ye sunaa_e -  View,Aanchal (1980),1980,R D Burman,Majrooh,Lata,,
1970s,"is mo.D se jaate hai.n, kuchh sust kadam raste, kuch... -  View",Aandhi (1975),1975,R D Burman,Gulzar,Lata, Kishore,
1970s,"tere binaa zi.ndagii se koii, shikavaa, to nahii.n, ... -  View",Aandhi (1975),1975,R D Burman,Gulzar,Lata, Kishore,
1950s,hai kahii.n par shaadamaanii aur kahii.n naashaadiya... -  View,Aandhiyaan (1952),1952,Ali Akbar Khan,Pt Narendra Sharma,Lata,,
1970s,sai.nyaa binaa ghar suunaa -  View,Aangan Ki Kali (1979),1979,Bappi Lahiri,Shaili Shailendra,Lata, Bhupinder,
1960s,"Gairo.n pe karam apano.n pe sitam, ai jaan\-e\-vafaa... -  View",Aankhen (1968),1968,Ravi,Sahir,Lata,,
1960s,merii sun le araj banavaarii -  View,Aankhen (1968),1968,Ravi,Sahir,Lata,,
1960s,milatii hai zi.ndagii me.n mohabbat kabhii\-kabhii -  View,Aankhen (1968),1968,Ravi,Sahir,Lata,,
1950s,"aa.Nkho.n kaa taaraa, praaNo.n se pyaaraa -  View",Aansoo (1953),1953,Husnlal-Bhagatram,Qamar Jalalabadi,Lata,,
1960s,ik sunaharii shaam thii bahakii-bahakii zi.ndagii -  View,Aao Pyar Karen (1964),1964,Usha Khanna,Rajinder Krishan,Lata,,
1960s,merii daastaa.N mujhe hii meraa dil sunaa ke ro_e -  View,Aao Pyar Karen (1964),1964,Usha Khanna,Rajinder Krishan,Lata,,
1960s,tum akele to kabhii baaG me.n jaayaa na karo -  View,Aao Pyar Karen (1964),1964,Usha Khanna,Rajinder Krishan,Lata, Rafi,
1970s,mushqil se tho.Dii sii baat hotii hai -  View,Aap Beetee (1976),1976,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,karavaTe.n badalate rahe saarii raat ham -  View,Aap Ki Kasam (1974),1974,R D Burman,Anand Bakshi,Lata, Kishore,
1970s,suno kaho kahaa sunaa kuchh huaa kyaa? -  View,Aap Ki Kasam (1974),1974,R D Burman,Anand Bakshi,Lata, Kishore,
1970s,"chorii chorii, chupake chupake, palako.n ke piichhe ... -  View",Aap Ki Kasam (1974),1974,R D Burman,Anand Bakshi,Lata,,
1960s,agar mujh se muhabbat hai -  View,Aapki Parchhaiyan (1964),1964,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1940s,paa laaguu.N kar jorii re -  View,Aapki Sewa Mein (1947),1947,Datta Davjekar,Mahipal,Lata,,
1950s,man me.n kisii kii priit basaale -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,mil mil ke bichha.D gaye nain -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,ruuThaa huaa cha.ndaa hai -  View,Aaraam (1951),1951,Anil Biswas,Prem Dhawan,Lata,,
1950s,uja.Dii re mere pyaar kii duniyaa -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,baalamavaa naadaan -  View,Aaraam (1951),1951,Anil Biswas,Prem Dhawan,Lata,,
1960s,"kabhii to milegii, kahii.n to milegii -  View",Aarti (1962),1962,Roshan,Majrooh,Lata,,
1960s,baar baar tohe kyaa samajhaaye -  View,Aarti (1962),1962,Roshan,Majrooh,Lata, Rafi,
1960s,bane ho ek Kaak se to duur kyaa qariib kyaa -  View,Aarti (1962),1962,Roshan,Majrooh,Lata,,
1950s,mai.n huu.N tere sapano.n kii raanii -  View,Aas (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1950s,chaahe nainaa churaa_o ... pyaar ho ke rahegaa -  View,Aas (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Talat,
1980s,tum jo chale gaye to hogii ba.Dii Karaabii -  View,Aas Paas (1980),1980,Laxmikant-Pyarelal,Anand Bakshi,Lata, Kishore,
1980s,shiishaa ho yaa dil ho aaKir TuuT jaataa hai -  View,Aashaa (1980),1980,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,mahataab teraa cheharaa -  View,Aashiq (1962),1962,Shankar-Jaikishan,Shailendra,Lata, Mukesh,
1960s,nashiilii raat hai ... lo aayii milan kii raat suhaa... -  View,Aashiq (1962),1962,Shankar-Jaikishan,Hasrat,Lata,,
1960s,ik thaa bachapan -  View,Aashirwad (1968),1968,Vasant Desai,Gulzar,Lata, Chorus,
